"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "vue", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\.eslintrc.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\babel.config.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\dist\css\app.9c19342c.css", "CSS", 0, 0, 0, 0, 0, 0, 86, 0, 1, 87
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\dist\css\chunk-057ef974.4997241b.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\dist\css\chunk-0f1313d6.e398c327.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\dist\css\chunk-0f7ec29e.ee25e399.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\dist\css\chunk-vendors.cbc2a074.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 7, 0, 9
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\dist\index.html", "HTML", 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\dist\js\app.1bbe4857.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
